name, center_coordinate, all_coordinate, land_id
7级军港,176,849,172,849|173,850|174,849|175,850|176,849,4
7级军港,226,805,226,802|226,803|226,804|226,805,4
7级军港,301,498,301,495|301,494|301,496|301,497|301,498,4
7级军港,1008,847,1008,842|1008,843|1008,844|1008,845|1008,846|1008,847,4
7级军港,442,525,442,522|442,523|442,524|442,525,4
7级军港,641,745,641,741|641,742|641,743|641,744|641,745,4
7级军港,683,775,683,775|683,776|683,777|683,778|683,779,4
7级军港,744,738,741,738|742,738|743,738|744,738,4
7级军港,778,699,778,695|778,696|778,697|778,698|778,699,4
7级军港,899,625,899,622|899,623|899,624|899,625,4
7级军港,361,673,357,673|358,673|359,673|360,673|361,673,4
7级军港,489,457,485,457|486,457|487,457|488,457|489,457,4
7级军港,386,493,382,493|383,493|384,493|385,493|386,493,4
7级军港,466,994,463,994|464,994|465,994|466,994,4
7级军港,902,732,902,737|902,736|902,735|902,734|902,733|902,732,4
7级军港,475,507,478,507|477,507|476,507|475,507,4
7级军港,490,810,486,810|487,810|488,810|489,810|490,810,4
7级军港,460,882,457,882|458,882|459,882|460,882,4
7级军港,930,582,926,582|930,582|927,582|928,582|929,582,4
7级军港,333,707,333,704|333,705|333,706|333,707,4
5级基地,546,803,546,803,4
5级基地,509,894,509,894,4
6级基地,616,820,616,820,4
10级基地,605,909,605,909,4
9级基地,685,888,685,888,4
8级基地,640,944,640,944,4
7级基地,700,944,700,944,4
7级基地,644,965,644,965,4
3级基地,832,669,832,669,4
4级基地,762,818,762,818,4
4级基地,848,826,848,826,4
5级基地,933,785,933,785,4
5级基地,942,830,942,830,4
6级基地,987,851,987,851,4
6级基地,800,980,800,980,4
7级基地,894,974,894,974,4
8级基地,763,1051,763,1051,4
3级基地,1072,811,1072,811,4
3级基地,1029,789,1029,789,4
4级基地,991,743,991,743,4
4级基地,934,729,934,729,4
5级基地,862,695,862,695,4
5级基地,907,643,907,643,4
6级基地,956,548,956,548,4
6级基地,838,479,838,479,4
7级基地,932,391,932,391,4
8级基地,1023,424,1023,424,4
3级基地,734,464,734,464,4
3级基地,765,387,765,387,4
4级基地,815,319,815,319,4
4级基地,631,462,631,462,4
5级基地,697,338,697,338,4
5级基地,675,272,675,272,4
6级基地,555,344,555,344,4
6级基地,547,426,547,426,4
7级基地,588,288,588,288,4
8级基地,529,508,529,508,4
3级基地,424,523,424,523,4
3级基地,452,465,452,465,4
4级基地,391,431,391,431,4
4级基地,298,240,298,240,4
5级基地,211,407,211,407,4
5级基地,438,279,438,279,4
6级基地,474,258,474,258,4
7级基地,316,472,316,472,4
8级基地,283,445,283,445,4
3级基地,242,603,242,603,4
3级基地,273,518,273,518,4
4级基地,341,499,341,499,4
4级基地,377,539,377,539,4
5级基地,228,749,228,749,4
5级基地,143,834,143,834,4
6级基地,136,761,136,761,4
6级基地,149,606,149,606,4
7级基地,162,502,162,502,4
8级基地,115,683,115,683,4
3级基地,226,827,226,827,4
3级基地,134,916,134,916,4
4级基地,108,999,108,999,4
4级基地,180,1013,180,1013,4
5级基地,226,955,226,955,4
5级基地,241,1018,241,1018,4
6级基地,334,996,334,996,4
6级基地,407,957,407,957,4
7级基地,372,1037,372,1037,4
8级基地,256,1082,256,1082,4
3级基地,353,780,353,780,4
3级基地,346,842,346,842,4
4级基地,409,856,409,856,4
4级基地,459,736,459,736,4
5级基地,471,627,471,627,4
5级基地,476,549,476,549,4
6级基地,438,563,438,563,4
6级基地,399,633,399,633,4
7级基地,394,697,394,697,4
8级基地,295,741,295,741,4
3级基地,557,715,557,715,4
3级基地,554,648,554,648,4
4级基地,630,542,630,542,4
4级基地,683,589,683,589,4
5级基地,795,555,795,555,4
5级基地,832,579,832,579,4
6级基地,876,593,876,593,4
6级基地,781,654,781,654,4
7级基地,662,676,662,676,4
8级基地,603,717,603,717,4
7级关卡,534,275,534,275,4
7级关卡,625,481,625,481,4
7级关卡,724,528,724,528,4
7级关卡,490,635,490,635,4
7级关卡,493,752,493,752,4
7级关卡,275,914,275,914,4
7级关卡,311,956,311,956,4
7级关卡,802,424,802,424,4
7级关卡,886,330,886,330,4
7级关卡,477,1044,477,1044,4
3级基地,777,727,777,727,4
8级基地,657,867,657,867,4
936,236,881,236,881,4
8级司令部,210,739,210,739,4
8级司令部,277,425,277,425,4
8级司令部,538,814,538,814,4
8级司令部,936,861,936,861,4
8级司令部,558,431,558,431,4
wjc_1,246,350,246,350,4
wjc_4,278,346,278,346,4
wjc_1,312,333,312,333,4
wjc_4,337,318,337,318,4
wjc_1,354,265,354,265,4
wjc_1,309,168,309,168,4
wjc_4,289,175,289,175,4
wjc_4,361,225,361,225,4
